Sample	stats_Sample_name	stats_Strandness	stats_Number_of_frag	stats_Number_of_rRNA	stats_Percent_of_rRNA	stats_Number_of_aligned	stats_Percent_of_aligned	stats_Number_of_uniquely_aligned	stats_Percent_uniquely_aligned	stats_Number_of_multiple_aligned	stats_Percent_multiple_aligned	stats_Number_of_duplicates	stats_Percent_duplicates	stats_Percent_saturation
D1472T12	EV-01-127	reverse	16501476.0	1472033.0	8.92	8964609.0	54.33	5737480.0	34.77	3227129.0	19.56	7375311.0	82.27	23.96
D1472T13	EV-01-088	reverse	15268265.0	1636498.0	10.72	5239886.0	34.32	3669800.0	24.04	1570086.0	10.28	4194813.0	80.06	21.49
D1472T14	EV-01-096	reverse	13618050.0	982414.0	7.21	5540396.0	40.68	3911016.0	28.72	1629380.0	11.96	4643350.0	83.81	21.98
D1472T15	EV-01-102	reverse	16587328.0	1150108.0	6.93	8420080.0	50.76	6086755.0	36.7	2333325.0	14.07	7381956.0	87.67	27.66
D1472T16	EV-01-106	reverse	15054198.0	1492375.0	9.91	6189682.0	41.12	3173001.0	21.08	3016681.0	20.04	5298555.0	85.6	23.95
D1472T17	EV-01-108	reverse	16080503.0	801822.0	4.99	7958709.0	49.49	6153624.0	38.27	1805085.0	11.23	6637661.0	83.4	22.13
D1472T18	EV-01-114	reverse	14948753.0	1199287.0	8.02	8381967.0	56.07	6302591.0	42.16	2079376.0	13.91	7243445.0	86.42	25.67
D1472T19	EV-01-128	reverse	15696737.0	1945239.0	12.39	6017938.0	38.34	4318755.0	27.51	1699183.0	10.83	5115889.0	85.01	21.23
D1472T20	EV-01-130	reverse	15806911.0	2646995.0	16.75	7564105.0	47.85	5361475.0	33.92	2202630.0	13.93	5596097.0	73.98	19.94
D1472T21	EV-01-132	reverse	11398540.0	2826790.0	24.8	4644657.0	40.75	3160012.0	27.72	1484645.0	13.02	3298635.0	71.02	19.18
D1472T22	EV-01-133	reverse	12923187.0	1285877.0	9.95	6242036.0	48.3	4230318.0	32.73	2011718.0	15.57	5077266.0	81.34	25.72
D1472T23	EV-01-118	reverse	14023629.0	1030665.0	7.35	7195070.0	51.31	5411689.0	38.59	1783381.0	12.72	5812718.0	80.79	23.42
D1472T24	EV-01-120	reverse	13872876.0	805163.0	5.8	7569345.0	54.56	5988203.0	43.16	1581142.0	11.4	6358534.0	84.0	24.44
D1472T25	EV-01-123	reverse	16862161.0	1517352.0	9.0	9236456.0	54.78	6877264.0	40.79	2359192.0	13.99	7443051.0	80.58	23.3
D1472T26	EV-01-129	reverse	13930881.0	702423.0	5.04	8147717.0	58.49	6343217.0	45.53	1804500.0	12.95	6974046.0	85.6	26.85
D1472T27	EV-01-136	reverse	13775769.0	414701.0	3.01	6215722.0	45.12	4875614.0	35.39	1340108.0	9.73	5237291.0	84.26	25.46
D1472T28	EV-01-158	reverse	11657185.0	2069008.0	17.75	5287022.0	45.35	3492733.0	29.96	1794289.0	15.39	4305925.0	81.44	19.39
D1472T29	EV-01-131	reverse	15247529.0	1611615.0	10.57	7884304.0	51.71	5681547.0	37.26	2202757.0	14.45	6600594.0	83.72	21.26
D1472T30	EV-01-137	reverse	14489176.0	775131.0	5.35	8681841.0	59.92	7121492.0	49.15	1560349.0	10.77	7489390.0	86.26	25.2
D1472T31	EV-01-138	reverse	19377507.0	2434506.0	12.56	7980441.0	41.18	4944454.0	25.52	3035987.0	15.67	6540869.0	81.96	21.34
D1472T32	EV-01-150	reverse	13763352.0	1792006.0	13.02	7015370.0	50.97	4591190.0	33.36	2424180.0	17.61	5442842.0	77.58	20.44
D1472T33	EV-02-068	reverse	14941782.0	791087.0	5.29	9698479.0	64.91	6968886.0	46.64	2729593.0	18.27	8387710.0	86.48	28.53
D1472T34	EV-02-094	reverse	16976504.0	1428617.0	8.42	12136079.0	71.49	9888234.0	58.25	2247845.0	13.24	10194671.0	84.0	34.53
D1472T35	EV-01-153	reverse	15950109.0	581176.0	3.64	8606248.0	53.96	7041298.0	44.15	1564950.0	9.81	7400654.0	85.99	23.64
D1472T36	EV-01-157	reverse	14231002.0	590623.0	4.15	8907634.0	62.59	7072155.0	49.7	1835479.0	12.9	7973218.0	89.51	24.05
D1472T37	EV-01-161	reverse	12767046.0	961393.0	7.53	8281785.0	64.87	6697278.0	52.46	1584507.0	12.41	7348391.0	88.73	22.57
D1472T38	EV-02-194	reverse	14373421.0	751389.0	5.23	8759758.0	60.94	6872676.0	47.82	1887082.0	13.13	7533821.0	86.0	22.5
D1472T39	EV-02-103	reverse	16098420.0	1538114.0	9.55	9648737.0	59.94	4514943.0	28.05	5133794.0	31.89	7442488.0	77.13	21.9
D1472T40	EV-02-110	reverse	35734312.0	1303984.0	3.65	29296495.0	81.98	25740313.0	72.03	3556182.0	9.95	24530043.0	83.73	44.47
D1472T41	EV-02-188	reverse	17083757.0	722865.0	4.23	10174673.0	59.56	7847061.0	45.93	2327612.0	13.62	9036627.0	88.81	29.71
